[I 2023-08-09 11:49:51,247] A new study created in memory with name: no-name-8317af28-a39a-4a42-8212-236995cba082
[I 2023-08-09 13:36:16,198] Trial 57 finished with value: 0.6518539999999999 and parameters: {'alpha': 2, 'beta': 2.5, 'l1_in': 128, 'actor_l2_in': 128, 'actor_l3_in': 192, 'actor_l4_in': 192, 'critic_l2_in': 64, 'critic_l3_in': 256, 'critic_l4_in': 192, 'actor_lr': 0.0003}. Best is trial 54 with value: 0.813016.
[I 2023-08-09 13:38:00,810] Trial 58 finished with value: 0.778102 and parameters: {'alpha': 2, 'beta': 2.5, 'l1_in': 128, 'actor_l2_in': 192, 'actor_l3_in': 128, 'actor_l4_in': 192, 'critic_l2_in': 128, 'critic_l3_in': 128, 'critic_l4_in': 192, 'actor_lr': 0.0001}. Best is trial 54 with value: 0.813016.
[I 2023-08-09 13:39:52,283] Trial 59 finished with value: 0.696464 and parameters: {'alpha': 2, 'beta': 2.5, 'l1_in': 128, 'actor_l2_in': 192, 'actor_l3_in': 192, 'actor_l4_in': 256, 'critic_l2_in': 64, 'critic_l3_in': 256, 'critic_l4_in': 192, 'actor_lr': 0.0006}. Best is trial 54 with value: 0.813016.
[I 2023-08-09 13:41:40,166] Trial 60 finished with value: 0.727488 and parameters: {'alpha': 6, 'beta': 2.5, 'l1_in': 128, 'actor_l2_in': 192, 'actor_l3_in': 192, 'actor_l4_in': 192, 'critic_l2_in': 64, 'critic_l3_in': 256, 'critic_l4_in': 192, 'actor_lr': 0.0001}. Best is trial 54 with value: 0.813016.
[I 2023-08-09 13:43:27,675] Trial 61 finished with value: 0.777448 and parameters: {'alpha': 2, 'beta': 2.5, 'l1_in': 128, 'actor_l2_in': 192, 'actor_l3_in': 192, 'actor_l4_in': 192, 'critic_l2_in': 64, 'critic_l3_in': 256, 'critic_l4_in': 192, 'actor_lr': 0.0001}. Best is trial 54 with value: 0.813016.
[I 2023-08-09 13:45:16,879] Trial 62 finished with value: 0.797814 and parameters: {'alpha': 2, 'beta': 2.5, 'l1_in': 128, 'actor_l2_in': 192, 'actor_l3_in': 192, 'actor_l4_in': 192, 'critic_l2_in': 64, 'critic_l3_in': 256, 'critic_l4_in': 192, 'actor_lr': 0.0001}. Best is trial 54 with value: 0.813016.
[I 2023-08-09 13:47:04,316] Trial 63 finished with value: 0.7727320000000001 and parameters: {'alpha': 2, 'beta': 2.5, 'l1_in': 128, 'actor_l2_in': 192, 'actor_l3_in': 192, 'actor_l4_in': 192, 'critic_l2_in': 64, 'critic_l3_in': 256, 'critic_l4_in': 192, 'actor_lr': 0.0001}. Best is trial 54 with value: 0.813016.
[I 2023-08-09 13:48:51,518] Trial 64 finished with value: 0.667346 and parameters: {'alpha': 2, 'beta': 2.5, 'l1_in': 128, 'actor_l2_in': 192, 'actor_l3_in': 192, 'actor_l4_in': 192, 'critic_l2_in': 64, 'critic_l3_in': 256, 'critic_l4_in': 192, 'actor_lr': 0.0004}. Best is trial 54 with value: 0.813016.
[I 2023-08-09 13:50:39,817] Trial 65 finished with value: 0.6527779999999999 and parameters: {'alpha': 2, 'beta': 2.5, 'l1_in': 128, 'actor_l2_in': 192, 'actor_l3_in': 192, 'actor_l4_in': 192, 'critic_l2_in': 64, 'critic_l3_in': 256, 'critic_l4_in': 192, 'actor_lr': 0.0007}. Best is trial 54 with value: 0.813016.
[I 2023-08-09 13:52:26,384] Trial 66 finished with value: 0.625784 and parameters: {'alpha': 8, 'beta': 2.5, 'l1_in': 192, 'actor_l2_in': 128, 'actor_l3_in': 192, 'actor_l4_in': 192, 'critic_l2_in': 64, 'critic_l3_in': 256, 'critic_l4_in': 192, 'actor_lr': 0.0009}. Best is trial 54 with value: 0.813016.
[I 2023-08-09 13:54:20,293] Trial 67 finished with value: 0.7926020000000001 and parameters: {'alpha': 2, 'beta': 2.5, 'l1_in': 128, 'actor_l2_in': 192, 'actor_l3_in': 192, 'actor_l4_in': 192, 'critic_l2_in': 256, 'critic_l3_in': 256, 'critic_l4_in': 192, 'actor_lr': 0.0001}. Best is trial 54 with value: 0.813016.
[I 2023-08-09 13:56:02,726] Trial 68 finished with value: 0.49272400000000005 and parameters: {'alpha': 10, 'beta': 2.5, 'l1_in': 256, 'actor_l2_in': 64, 'actor_l3_in': 128, 'actor_l4_in': 64, 'critic_l2_in': 64, 'critic_l3_in': 192, 'critic_l4_in': 192, 'actor_lr': 0.0002}. Best is trial 54 with value: 0.813016.
[I 2023-08-09 13:57:47,721] Trial 69 finished with value: 0.80342 and parameters: {'alpha': 2, 'beta': 1.5, 'l1_in': 128, 'actor_l2_in': 192, 'actor_l3_in': 64, 'actor_l4_in': 192, 'critic_l2_in': 64, 'critic_l3_in': 64, 'critic_l4_in': 192, 'actor_lr': 0.0001}. Best is trial 54 with value: 0.813016.
